store_name,address,borough,zip_code,full_address,latitude,longitude
72nd & Broadway (542),2073 Broadway,Manhattan,10023,"2073 Broadway, Manhattan, NY 10023",40.7785925,-73.9822755
Chelsea (543),675 6th Ave,Manhattan,10010,"675 6th Ave, Manhattan, NY 10010",40.7420727,-73.9936765
East Village (546),436 East 14th St,Manhattan,10009,"436 East 14th St, Manhattan, NY 10009",40.7305095,-73.9810994
Essex Crossing (538),400 Grand St. (Cellar),Manhattan,10002,"400 Grand St, Manhattan, NY 10002",40.7161587,-73.9867257
Harlem (576),123 W 125th St,Manhattan,10027,"123 W 125th St, Manhattan, NY 10027",40.8081472,-73.9461467
New York - Murray Hill (544),200 E 32nd St,Manhattan,10016,"200 E 32nd St, Manhattan, NY 10016",40.7439285,-73.9790227
SoHo (539),233 Spring Street,Manhattan,10013,"233 Spring Street, Manhattan, NY 10013",40.7257088,-74.0048369
Union Square (540),142 E 14th St,Manhattan,10003,"142 E 14th St, Manhattan, NY 10003",40.7334209,-73.987875
Upper East Side - Bridgemarket (571),405 E. 59th Street,Manhattan,10022,"405 E. 59th Street, Manhattan, NY 10022",40.7596586,-73.9613341
Upper West Side (545),670 Columbus Ave,Manhattan,10025,"670 Columbus Ave, Manhattan, NY 10025",40.7908664,-73.9692378
Brooklyn - City Point (547),445 Gold St,Brooklyn,11201,"445 Gold St, Brooklyn, NY 11201",40.693314,-73.9833812
Brooklyn - Williamsburg (548),200 Kent Ave,Brooklyn,11249,"200 Kent Ave, Brooklyn, NY 11249",40.716489,-73.9660311
Brooklyn (558),130 Court St,Brooklyn,11201,"130 Court St, Brooklyn, NY 11201",40.6895208,-73.9928556
Forest Hills (578),69-65 Yellowstone Blvd,Queens,11375,"69-65 Yellowstone Blvd, Queens, NY 11375",40.7226474,-73.848109
Long Island City (565),22-43 Jackson Ave,Queens,11101,"22-43 Jackson Ave, Queens, NY 11101",40.7458476,-73.9462749
Rego Park (557),9030 Metropolitan Ave,Queens,11374,"9030 Metropolitan Ave, Queens, NY 11374",40.7111348,-73.8582922
Staten Island - South Shore (580),6400 Amboy Rd,Staten Island,10309,"6400 Amboy Rd, Staten Island, NY 10309",40.5216877,-74.2169055
Staten Island (559),2385 Richmond Ave,Staten Island,10314,"2385 Richmond Ave, Staten Island, NY 10314",40.5899749,-74.1658103
