store_name,address,borough,zip_code,unnamed_5,brand,full_address
Upper East Side,1551 3rd Ave,Manhattan,10128,,Whole Foods,"1551 3rd Ave, Manhattan, NY 10128"
Lenox Hill,1175 3rd Ave,Manhattan,10065,,Whole Foods,"1175 3rd Ave, Manhattan, NY 10065"
Midtown East,226 E 57th St,Manhattan,10022,,Whole Foods,"226 E 57th St, Manhattan, NY 10022"
Bryant Park,1095 6th Ave,Manhattan,10036,,Whole Foods,"1095 6th Ave, Manhattan, NY 10036"
Bowery,95 E Houston St,Manhattan,10002,,Whole Foods,"95 E Houston St, Manhattan, NY 10002"
Union Square,4 Union Square S,Manhattan,10003,,Whole Foods,"4 Union Square S, Manhattan, NY 10003"
Tribeca,270 Greenwich St,Manhattan,10007,,Whole Foods,"270 Greenwich St, Manhattan, NY 10007"
Columbus Circle,10 Columbus Cir Ste Sc101,Manhattan,10019,,Whole Foods,"10 Columbus Cir Ste Sc101, Manhattan, NY 10019"
Upper West Side,808 Columbus Ave,Manhattan,10025,,Whole Foods,"808 Columbus Ave, Manhattan, NY 10025"
NoMad,63 Madison Ave,Manhattan,10016,,Whole Foods,"63 Madison Ave, Manhattan, NY 10016"
Harlem,100 W 125th St,Manhattan,10027,,Whole Foods,"100 W 125th St, Manhattan, NY 10027"
Brooklyn Third and 3rd,214 3rd St,Brooklyn,11215,,Whole Foods,"214 3rd St, Brooklyn, NY 11215"
Fort Greene,292 Ashland Pl,Brooklyn,11217,,Whole Foods,"292 Ashland Pl, Brooklyn, NY 11217"
Williamsburg,238 Bedford Ave,Brooklyn,11249,,Whole Foods,"238 Bedford Ave, Brooklyn, NY 11249"
Grand Street,774 Grand St,Brooklyn,11211,,Whole Foods,"774 Grand St, Brooklyn, NY 11211"
Astor Place,770 Broadway,Manhattan,10003,,Wegmans,"770 Broadway, Manhattan, NY 10003"
Brooklyn,21 Flushing Ave,Brooklyn,11205,,Wegmans,"21 Flushing Ave, Brooklyn, NY 11205"
