store_name,address,borough,zip_code,unnamed_5,brand,full_address,latitude,longitude
Upper East Side,1551 3rd Ave,Manhattan,10128,,Whole Foods,"1551 3rd Ave, Manhattan, NY 10128",40.7796967,-73.9529487
Lenox Hill,1175 3rd Ave,Manhattan,10065,,Whole Foods,"1175 3rd Ave, Manhattan, NY 10065",40.7673011,-73.9621657
Midtown East,226 E 57th St,Manhattan,10022,,Whole Foods,"226 E 57th St, Manhattan, NY 10022",40.7594206,-73.9660348
Bryant Park,1095 6th Ave,Manhattan,10036,,Whole Foods,"1095 6th Ave, Manhattan, NY 10036",40.7546492,-73.9848112
Bowery,95 E Houston St,Manhattan,10002,,Whole Foods,"95 E Houston St, Manhattan, NY 10002",40.7238482,-73.9923711
Union Square,4 Union Square S,Manhattan,10003,,Whole Foods,"4 Union Square South, Manhattan, NY 10003",40.735863,-73.991084
Tribeca,270 Greenwich St,Manhattan,10007,,Whole Foods,"270 Greenwich St, Manhattan, NY 10007",40.7156112,-74.0117376
Columbus Circle,10 Columbus Cir Ste Sc101,Manhattan,10019,,Whole Foods,"10 Columbus Circle, Manhattan, NY 10019",40.7682549,-73.9828519
Upper West Side,808 Columbus Ave,Manhattan,10025,,Whole Foods,"808 Columbus Ave, Manhattan, NY 10025",40.7946572,-73.9666786
NoMad,63 Madison Ave,Manhattan,10016,,Whole Foods,"63 Madison Ave, Manhattan, NY 10016",40.7436257,-73.9857495
Harlem,100 W 125th St,Manhattan,10027,,Whole Foods,"100 W 125th St, Manhattan, NY 10027",40.8076095,-73.9462766
Brooklyn Third and 3rd,214 3rd St,Brooklyn,11215,,Whole Foods,"214 3rd St, Brooklyn, NY 11215",40.6748746,-73.9887826
Fort Greene,292 Ashland Pl,Brooklyn,11217,,Whole Foods,"292 Ashland Pl, Brooklyn, NY 11217",40.6860974,-73.9785902
Williamsburg,238 Bedford Ave,Brooklyn,11249,,Whole Foods,"238 Bedford Ave, Brooklyn, NY 11249",40.7161062,-73.9597389
Grand Street,774 Grand St,Brooklyn,11211,,Whole Foods,"774 Grand St, Brooklyn, NY 11211",40.7116997,-73.9419586
Astor Place,770 Broadway,Manhattan,10003,,Wegmans,"770 Broadway, Manhattan, NY 10003",40.7308849,-73.9916384
Brooklyn,21 Flushing Ave,Brooklyn,11205,,Wegmans,"21 Flushing Ave, Brooklyn, NY 11205",40.6988858,-73.978777
