zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count,area_sq_miles,population_density,income_percentile,transit_access_tier,is_tj_gap,log_population_density,density_score,income_score,tj_gap_score,transit_score,site_selection_score,rank,nearest_competitor_ft,nearest_competitor_miles,competitor_count_1mi,avg_asking_rent_psf,retail_corridor_proxy,rent_score,competition_score,tj_customer_fit_score,final_refinement_score,refined_rank
10128,Manhattan,59000,148705.0,148705.0,1.189513827759276,2.0,0.45355354248479346,130083.86987072893,0.8932038834951457,medium,0,11.775942361586475,0.968652820231555,0.9289340101522843,0.1253522744735822,0.08333333333333333,0.6572650855254095,2,1005.4488631291557,0.19042592104718858,1,297,East 86th Street (Lexington Avenue - Second Avenue),0.5801217038539555,0.5,0.8219533136690769,0.6667618844344566,1
11238,Brooklyn,58462,132957.0,132957.0,1.774699152156733,7.0,1.9368212460168495,30184.509861315,0.8592233009708737,high,0,10.315117282302548,0.5407767377988356,0.8934010152284263,0.18784954372910653,0.5,0.5522308576724622,6,6373.387904924093,1.20708104259926,0,105,Flatbush Ave (Fifth Ave - Grand Army Plaza),0.9695740365111561,1.0,0.658078724229367,0.6599116631004663,2
11226,Brooklyn,100022,81084.0,81084.0,3.5278440644257216,7.0,1.30261707831281,76785.42041652916,0.33980582524271846,high,1,11.248783086008597,0.8142477180389652,0.350253807106599,0.3750838523455167,0.5,0.5632793094613392,4,13673.694708870815,2.589714906983109,0,105,Flatbush Ave (Fifth Ave - Grand Army Plaza),0.9695740365111561,1.0,0.6047126915067922,0.6558675276292776,3
11218,Brooklyn,71313,95916.0,95916.0,3.315765261861725,3.0,1.361942673536631,52361.234716889834,0.6601941747572816,medium,1,10.865940898962005,0.7021131322446369,0.6852791878172589,0.352434025915097,0.16666666666666666,0.547651855035189,7,12064.695568518078,2.284980221310242,0,104,Fifth Ave (Union St - Ninth Street),0.9716024340770791,1.0,0.6159042818583591,0.6489322128004931,4
10028,Manhattan,45679,168125.0,168125.0,1.231224872465291,2.0,0.31551000496360315,144778.2931804951,0.941747572815534,medium,0,11.882965745810731,1.0,0.9796954314720813,0.12980697674179983,0.08333333333333333,0.6833852532163802,1,1190.207695559007,0.22541812415890286,2,259,Third Avenue (60th Street - 72nd Street),0.6572008113590264,0.0,0.8553934010152284,0.6468299132687765,5
11225,Brooklyn,56544,85201.0,85201.0,2.5970647934798192,7.0,0.8748350128251458,64633.90144548491,0.3932038834951456,high,0,11.076509813931319,0.763788827505388,0.40609137055837563,0.27567745869806265,0.5,0.5371738653813616,8,10590.459563533035,2.0057688567297416,0,105,Flatbush Ave (Fifth Ave - Grand Army Plaza),0.9695740365111561,1.0,0.5990263934481255,0.6390670015695576,6
11215,Brooklyn,70922,180773.0,180773.0,1.8863289412013078,7.0,2.2113430151544153,32071.912640404007,0.9563106796116505,high,0,10.375767109904134,0.5585410896041227,0.9949238578680203,0.19977150535731325,0.5,0.5871017013801169,3,4515.4373318369,0.8551964643630492,1,141,Seventh Ave (Union St - Ninth Street),0.896551724137931,0.5,0.7024938950558683,0.632414972253037,7
11209,Brooklyn,70756,92656.0,92656.0,5.066959400914872,3.0,2.1133175385741905,33481.0073301798,0.6407766990291263,medium,1,10.418763478904676,0.5711347383493933,0.6649746192893401,0.5394599936968281,0.16666666666666666,0.527589548901458,10,22486.124700531887,4.2587357387371,0,90,86th Street (4th Ave - Fort Hamilton Pkwy),1.0,1.0,0.5433084859259657,0.625215426526068,8
11211,Brooklyn,65691,105183.0,105183.0,1.062156855320144,6.0,1.4955872178192653,43923.21572244037,0.7330097087378641,high,0,10.690221057971375,0.6506447406931811,0.7614213197969543,0.11175066372523955,0.4166666666666667,0.535463358971559,9,1460.2372175484857,0.2765600790811526,2,250,Bedford Ave (Grand St - North Eighth Street),0.6754563894523327,0.0,0.6543198322755246,0.5196876207832736,9
10036,Manhattan,30589,100225.0,100225.0,1.2326747590217444,4.0,0.44723249021206724,68396.19363408818,0.6941747572815534,medium,0,11.13308707402754,0.7803603231266258,0.7208121827411168,0.1299618233292496,0.25,0.5558395396017796,5,2481.585754542089,0.4699973019966078,2,583,Fifth Avenue (42nd Street - 49th Street),0.0,0.0,0.6799644255227038,0.4694966088656085,10
