Final Rank,Core Rank,ZIP,Borough,Population,Pop. Density (per sq mi),Income Percentile,Nearest TJ (mi),Subway Stops,Nearest Competitor (mi),Competitors ≤1 mi,Rent Proxy ($/SF)
1,2,10128,Manhattan,"59,000","130,084",0.89,1.19,2.0,0.19,1,297
2,6,11238,Brooklyn,"58,462","30,185",0.86,1.77,7.0,1.21,0,105
3,4,11226,Brooklyn,"100,022","76,785",0.34,3.53,7.0,2.59,0,105
4,7,11218,Brooklyn,"71,313","52,361",0.66,3.32,3.0,2.28,0,104
5,1,10028,Manhattan,"45,679","144,778",0.94,1.23,2.0,0.23,2,259
6,8,11225,Brooklyn,"56,544","64,634",0.39,2.6,7.0,2.01,0,105
7,3,11215,Brooklyn,"70,922","32,072",0.96,1.89,7.0,0.86,1,141
8,10,11209,Brooklyn,"70,756","33,481",0.64,5.07,3.0,4.26,0,90
9,9,11211,Brooklyn,"65,691","43,923",0.73,1.06,6.0,0.28,2,250
10,5,10036,Manhattan,"30,589","68,396",0.69,1.23,4.0,0.47,2,583
